Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev
qr-code-generator,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
qt5-qtconnectivity,,,N,N,Y,Y,N,N,,,NA,N
qt5-qtsensors,,,N,N,Y,Y,N,N,,,NA,N
qt5-qtserialport,,,N,N,Y,Y,N,N,,,NA,N
quagga,,,N,N,Y,Y,N,N,,,NA,N
raptor2,,,N,N,Y,Y,N,N,,,NA,N
rarian,Archana,,N,N,Y,Y,N,N,,New P0,NA,N
rasdaemon,,,N,N,Y,N,N,Y,,,NA,N
rasqal,,,N,N,Y,Y,N,N,,,NA,N
rcs,,,N,N,Y,Y,N,N,,,NA,N
rdist,,,N,N,Y,Y,N,N,,,NA,N
re2c,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
realmd,Jyoti,Override_to_Y,N,N,Y,Y,N,N,,P1,NA,N
rear,,,N,N,Y,Y,N,N,,,NA,N
recode,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
redland,,,N,N,N,N,Y,N,,,NA,N
regexp,,,N,N,Y,Y,N,N,,,NA,N
relaxngDatatype,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
resource-agents,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
rhash,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rhino,,,N,N,Y,Y,N,N,,,NA,N
rhnlib,,,N,N,Y,Y,N,N,,,NA,N
ripgrep,,,N,N,Y,Y,N,N,,,rust-ripgrep,N
rp-pppoe,,,N,N,Y,Y,N,N,,,NA,N
rpmlint,,,N,N,Y,Y,N,N,,,NA,N
rtkit,,,N,N,Y,Y,N,N,,,NA,N
rubygem-bson,Jyoti,Y,N,N,Y,Y,N,N,,CP_batch1,NA,N
rubygem-coderay,,,N,N,Y,Y,N,N,,,NA,N
rubygem-diff-lcs,,,N,N,Y,Y,N,N,,,NA,N
rubygem-eventmachine,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1,NA,N
rubygem-flexmock,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rubygem-liquid,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rubygem-maruku,,,N,N,Y,Y,N,N,,,NA,N
rubygem-mongo,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rubygem-mysql2,,,N,N,Y,Y,N,N,,,NA,N
rubygem-pkg-config,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rubygem-rouge,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
rubygem-rspec-expectations,,,N,N,Y,Y,N,N,,,NA,N
rubygem-rspec-mocks,,,N,N,Y,Y,N,N,,,NA,N
rubygem-rspec-support,Archana,,N,N,Y,Y,N,N,,New P0,NA,N
rubygem-thread_order,Archana,,N,N,Y,Y,N,N,,,NA,N
rusers,,,N,N,Y,Y,N,N,,,NA,N
rust-cbindgen,,,N,N,Y,Y,N,N,,,NA,N
samba,,,N,N,Y,Y,N,N,,,NA,N
sassist,,,N,N,Y,Y,N,N,,,NA,N
satyr,Sumit,Y,N,N,Y,Y,N,N,,P1,NA,N
sbc,Archana,,N,N,Y,Y,N,N,,P0,NA,N
sblim-cim-client2,,,N,N,Y,Y,N,N,,,NA,N
sblim-cmpi-base,,,N,N,Y,Y,N,N,,,NA,N
